labels	salinity_surface_whole_yr_max	salinity_surface_whole_yr_mean	salinity_surface_whole_yr_min	salinity_water_column_whole_yr_max	salinity_water_column_whole_yr_mean	salinity_water_column_whole_yr_min	salinity_surface_repro_max	salinity_surface_repro_mean	salinity_surface_repro_min	salinity_water_column_repro_max	salinity_water_column_repro_mean	salinity_water_column_repro_min	sst_whole_yr_max	sst_whole_yr_mean	sst_whole_yr_min	sst_repro_max	sst_repro_mean	sst_repro_min	chlo_surface_max	chlo_surface_mean	chlo_surface_min	chlo_benthic_max	chlo_benthic_mean	chlo_benthic_min
dip_fra_007	38.5608062744141	37.9215133710839	36.9547691345215	38.5430717468262	37.9229347769785	36.9942474365234	38.4755706787109	37.823944617962	36.9547691345215	38.4755706787109	37.8255356974985	36.9547691345215	25.840576171875	16.4619258327046	9.41411304473877	21.6268100738525	15.3382989455914	10.8584880828857	0.733067	0.230452	0.058648	0.710284	0.231931	0.043304
dip_fra_009	38.5749626159668	37.9306971232096	36.8992462158203	38.5565452575684	37.9322580140213	36.9363632202148	38.469856262207	37.8407105084123	36.8992462158203	38.469856262207	37.8424258396543	36.8992462158203	25.9363784790039	16.5685659633286	9.50735569000244	21.6821098327637	15.3987600227882	10.9812173843384	0.714374	0.225529	0.057937	0.710111	0.214683	0.044878
dip_fra_014	38.554141998291	37.9223677207684	36.9427719116211	38.5402145385742	37.926191743763	36.9718360900879	38.4689254760742	37.8291979164913	36.9427719116211	38.4689254760742	37.8308210482543	36.9427719116211	25.8651485443115	16.5168810685476	9.54675960540771	21.5925350189209	15.3186808783433	10.8952836990356	0.726918	0.228453	0.058192	0.764202	0.22803	0.053497
dip_fra_021	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_022	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_023	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_024	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_025	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_026	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_027	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_028	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_029	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_030	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_031	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_032	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_033	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_034	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_035	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_036	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_037	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_038	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_039	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_040	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_041	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_042	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_043	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_044	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_045	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_046	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_047	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_048	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
dip_fra_050	38.3788681030273	37.9684966953321	37.1678276062012	38.382755279541	38.0023718176217	37.1787109375	38.3788681030273	37.911955932091	37.1678276062012	38.3795928955078	37.9143806654831	37.1678276062012	26.0385456085205	17.0155599884603	11.2411603927612	21.8768482208252	15.5635416507721	11.7415189743042	0.546189	0.179856	0.047645	0.60141	0.206376	0.043621
